,id_book,name_book
744,611-0/К891-195945,"кузнецов,сергейльвович.атласпогистологии,цитологиииэмбриологииучебноепособиедлястудентовмедицинскихвузов/с.л.кузнецов,н.н.мушкамбаров,в.л.горячкина,2010.-376с."
750,611-0/К891-898504,"кузнецов,сергейльвович.атласпогистологии,цитологиииэмбриологииучебноепособиедлястудентовмедицинскихвузов/с.л.кузнецов,н.н.мушкамбаров,в.л.горячкина,2006.-376с."
758,611-018(075)/Б953-942249,"быков,владимирлазаревич.частнаягистологиячеловека(краткийобзорныйкурс)[текст]/в.л.быков,1997.-300с."
762,611-018/А924-962677,"атласмикроскопическогоиультрамикроскопическогостроенияклеток,тканейиоргановучебноепособиедлястудентовмедицинскихвузов/в.г.елисеев[идр.],2004.-448с."
765,611-018/Д183-978261,"данилов,ревхатьконстантинович.гистологиячеловекавмультимедиаучебникдлястудентовмедицинскихвузов/р.к.данилов,а.а.клишов,т.г.боровая,2003.-362с."
767,611-018/К891-613474,"кузнецов,сергейльвович.атласпогистологии,цитологиииэмбриологии[текст]/с.л.кузнецов,н.н.мушкамбаров,в.л.горячкина,2002.-374с."
768,611-018/К891-613474,"кузнецов,сергейльвович.атласпогистологии,цитологиииэмбриологии[текст]/с.л.кузнецов,н.н.мушкамбаров,в.л.горячкина,2002.-374с."
770,611-018/Р851-106204,"руководствопогистологиив2томах:учебноепособиедлястудентовмедицинскихвузовифакультетов,аспирантовислушателейсистемыдополнительногомедицинскогообразования/ред.:и.г.акмаев,в.л.быков,о.ю.волкова.том2:частнаягистологияоргановисистем/ред.:р.к.данилов,в.л.быков,и.а.одинцова,2001.-735с."
771,611-018/Р851-505256,"руководствопогистологиив2томах:учебноепособиедлястудентовмедицинскихвузовифакультетов,аспирантовислушателейсистемыдополнительногомедицинскогообразования/ред.и.г.акмаев,ред.в.л.быков,ред.о.в.волкова.том1:общаягистология(учениеотканях)/ред.р.к.данилов,ред.в.л.быков,2001.-495с."
778,611.0/Л436-373608,"лекциипообщейэмбриологиичеловекаучебноепособиедлястудентовмедико-биологическогофакультета,обучающихсяпоспециальностям:30.05.01–медицинскаябиохимия,30.05.02–медицинскаябиофизикаи30.05.03–медицинскаякибернетика/и.в.мильто[идр.];рец.:н.н.медведева,м.в.завьялова,2019.-112с."
780,611.0/О288-368094,"общийкурсгистологииучебноепособиедлясамостоятельныхзанятийстудентов,обучающихсяпоспециальностям:060101лечебноедело,31.05.02педиатрия,060105стоматология/е.ю.варакута[идр.];ред.с.в.логвинов;рец.а.а.жданкина,2016.-213с."
804,611.3/Г337-302384,"гемонов,владимирвладимирович.атласпогистологиииэмбриологииоргановротовойполостиизубовучебноепособиедлястудентовстоматологическихвузов(факультетов)/в.в.гемонов,э.н.лаврова,л.и.фалин,2003.-167с."
806,611.3/Г337-926258,"гемонов,владимирвладимирович.развитиеистроениеоргановротовойполостиизубовучебноепособиедлястудентовстоматологическихвузов(факультетов)/в.в.гемонов,э.н.лаврова,л.и.фалин,2002.-256с."
808,611.3/К727-272528,"костюченко,виттапетровна.органыпищеварительнойсистемыучебноепособиедлястудентов,обучающихсяпоспециальностямлечебноедело(060101),педиатрия(060103)истоматология(060105)/в.п.костюченко,а.в.герасимов,с.в.логвинов;рец.а.в.потапов,2009.-147с."
810,611.3/П640-298559,"потапов,алексейвалерьевич.гистологияиэмбриологияоргановротовойполостиучебноепособиестудентов,обучающихсяпоспециальности060201(060105)65-стоматология/а.в.потапов,е.ю.варакута,с.в.логвинов,2012.-88с."
812,611.31/В121-103941,"вавилова,татьянапавловна.биохимиятканейижидкостейполостиртаучебноепособиедлястудентовмедицинскихвузов/т.п.вавилова,2012.-208с."
815,611.31/К603-777330,"колесников,левльвович.анатомиязубовучебноепособиедлястудентовстоматологическихфакультетовмедицинскихвузов/л.л.колесников,а.в.чукбар,2007.-48с."
834,611.7/Ф947-279887,"функциональнаяанатомияопорно-двигательногоаппаратаучебноепособиедлястудентов,обучающихсяпоосновнымобразовательнымпрограммам-программамспециалитетапоспециальностям:""лечебноедело"",""педиатрия"",""стоматология""/л.в.савельева[идр.];рец.н.м.лебедева,2016.-81с."
867,611.8/М806-338086,"морфологияспинногоиголовногомозгачеловекаучебноепособиедлястудентовмедико-биологическогофакультета,обучающихсяпоспециальностям300501""медицинскаябиохимия"",300502""медицинскаябиофизика"",300503""медицинскаякибернетика"",310501""лечебноедело""и370501""клиническаяпсихология""/и.в.мильто[идр.];рец.:н.н.медведева,м.в.завьялова,2020.-222с."
870,611.8/С914-366935,"суходоло,иринавладимировна.функциональнаяморфологияцентральнойнервнойсистемыучебноепособие/и.в.суходоло,е.а.геренг,2008.-134с."
873,611.8/С914-652698,"суходоло,иринавладимировна.функциональнаяморфологияцентральнойнервнойсистемыучебноепособиедлястудентов,обучающихсяпоспециальностям:06011265-медицинскаябиохимия,06011365-медицинскаябиофизика,06011465-медицинскаякибернетика/и.в.суходоло,е.а.геренг;рец.:н.н.медведева,а.н.машак,2009.-132с."
874,611.8/С914-652698,"суходоло,иринавладимировна.функциональнаяморфологияцентральнойнервнойсистемыучебноепособиедлястудентов,обучающихсяпоспециальностям:06011265-медицинскаябиохимия,06011365-медицинскаябиофизика,06011465-медицинскаякибернетика/и.в.суходоло,е.а.геренг;рец.:н.н.медведева,а.н.машак,2009.-132с."
876,611.8/С914-823051,"суходоло,иринавладимировна.функциональнаяморфологияцентральнойнервнойсистемыучебноепособиедлястудентовмедико-биологическогофакультета,обучающихсяпоспециальностям040800(060112)-медицинскаябиохимия,040900(060113)-медицинскаябиофизика,041000(060114)-медицинскаякибернетика/и.в.суходоло,е.а.геренг,2012.-145с."
878,611.8/Ф947-005082,"функциональнаяморфологияпериферическойнервнойсистемыианализаторовучебноепособиедлястудентовмедицинскихвузов,обучающихсяпоспециальностям:медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика/и.в.суходоло[идр.];рец.:н.н.медведева,в.л.янин,2013.-122с."
880,611.8/Ф947-263751,"функциональнаяморфологияпериферическойнервнойсистемыианализаторовучебноепособиедляобучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалистапоспециальностям:медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика/и.в.суходоло[идр.];рец.:н.н.медведева,в.л.янин,2014.-122с."
887,611.9/П691-364442,"практикумпотопографическойанатомииучебноепособиедлястудентовмедицинскихинститутов/ред.б.с.гудимов,1984.-225с."
889,611/A53-824506,"ananthanarayanr.textbookofmicrobiologyучебноепособие/r.ananthanarayan,ck.j.paniker;ed.a.kapil,2015.-710p."
891,611/C549-436310,"sobotta,johannes.атласанатомиичеловекапер.снем.:в2-хтомах.том1:голова.шея.верхняяконечность:727цветныхиллюстраций,1070рисунков/пер.инауч.ред.в.в.куликов,2010.-432с."
893,611/D80-102802,"drake,richardl.gray'sanatomyforstudentsучебноепособие/r.l.drake,a.waynevogl,a.w.m.mitchell,2015.-1161p."
897,611/N47-770030,"netter,frankh.atlasofhumananatomy[текст]/f.h.netter,2014.-531p."
905,611/А643-072559,"анатомиячеловекав2томах:учебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальности31.05.01""лечебноедело""и31.05.02""педиатрия""подисциплине""анатомия"";поспециальности32.05.01""медико-профилактическоедело""подисциплине""анатомиячеловека.топографическаяанатомия"".том1/м.р.сапин[идр.];ред.м.р.сапин,2020.-528с."
907,611/А643-176077,"анатомиячеловекав2томах:учебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальности31.05.01""лечебноедело""и31.05.02""педиатрия""подисциплине""анатомия"";поспециальности32.05.01""медико-профилактическоедело""подисциплине""анатомиячеловека.топографическаяанатомия"".том2/м.р.сапин[идр.];ред.м.р.сапин,2020.-464с."
910,611/А643-201620,"анатомиячеловекаучебникдлястудентов,обучающихсяпоспециальности060105-стоматология/ред.:л.л.колесников,с.с.михайлов,2006.-816с."
912,611/А643-250187,"анатомиячеловекаучебноепособиедлястудентов,обучающихсяпоосновнымобразовательнымпрограммам–программамбакалавриатапонаправлениюподготовки:34.03.01–сестринскоедело/в.в.иванова[идр.],2021.-314с."
915,611/А643-313599,"анатомиячеловекаучебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальностям31.05.01""лечебноедело""и31.05.02""педиатрия""подисциплине""анатомия"";поспециальности32.05.01""медико-профилактическоедело""подисциплине""анатомиячеловека.топографическаяанатомия"":вдвухтомах/м.р.сапин[идр.];подред.м.р.сапина.-(учебник).том1,2015.-528с."
917,611/А643-483520,"анатомиячеловекаучебникдлястудентов,обучающихсяпоспециальности060105-стоматология/ред.:л.л.колесников,с.с.михайлов,2008.-816с."
919,611/А643-714728,"анатомиячеловекаучебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальностям31.05.01""лечебноедело""и31.05.02""педиатрия""подисциплине""анатомия"";поспециальности32.05.01""медико-профилактическоедело""подисциплине""анатомиячеловека.топографическаяанатомия"":в2-хтомах/м.р.сапин[идр.];подред.м.р.сапина.-(учебник).том2,2015.-456с."
921,611/А643-742543,"анатомиячеловекаучебникдлястудентоввузов,обучающихсяпоспециальности040400-стоматология/подред.л.л.колесникова,с.с.михайлова,2004.-814с."
922,611/А643-742543,"анатомиячеловекаучебникдлястудентоввузов,обучающихсяпоспециальности040400-стоматология/подред.л.л.колесникова,с.с.михайлова,2004.-814с."
934,611/Г214-808090,"гартнер,леслип.цветнойатласгистологиипер.сангл./л.п.гартнер,д.л.хайатт;ред.в.п.сапрыкин,2008.-480с."
939,611/Г516-196132,"гистология,эмбриология,цитологияучебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальности31.05.01""лечебноедело"",32.05.01""медико-профилактическоедело"",31.05.02""педиатрия""подисциплине""гистология,эмбриология,цитология""/ю.и.афанасьев[идр.];подред.ю.и.афанасьева,н.а.юриной;науч.ред.р.к.данилов,2018.-800с."
944,611/Г516-486311,"гистологя,цтологияиэмбриология.-2001"
946,611/Г516-581686,"гистология,цитологияиэмбриологияучебникдлястудентов,обучающихсяпоспециальностям:040100-лечебноедело,040200-педиатрия,040300-медико-профилактическоедело,040400-стоматология,040600-сестринскоедело,040800-медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика/подред.ю.и.афанасьева,с.л.кузнецова,н.а.юриной,2006.-768с."
952,611/Г516-785135,"гистология,эмбриология,цитологияучебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальностям31.05.01""лечебноедело"",32.05.01""медико-профилактическоедело"",31.05.02""педиатрия""подисциплине""гистология,эмбриология,цитология""/ю.и.афанасьев[идр.];подред.:ю.и.афанасьева,н.а.юриной;науч.ред.р.к.данилов,2014.-800с."
958,611/Ж894-855121,"жункейра,луизкарлос.гистологияучебноепособие:атлас:пер.сангл./л.к.жункейра,ж.карнейро,2009.-576с."
962,611/К994-995747,"кюнель,вольфганг.цветнойатласпоцитологии,гистологииимикроскопическойанатомиипер.сангл./в.кюнель;пер.е.погосян,2007.-533с."
965,611/Л436-761097,"лекцииповисцерологииучебноепособиедлястудентовмедико-биологическогофакультета,обучающихсяпоспециальностям:06060165-медицинскаябиохимия;06060265-медицинскаябиофизика;06060965-медицинскаякибернетика/и.в.суходоло[идр.];рец.р.и.плешко,2013.-139с."
969,611/Н573-065152,"неттер,фрэнк.атласанатомиичеловекапер.сангл./ф.неттер;подред.н.о.бартоша,л.л.колесникова,2007.-624с."
972,611/Н573-564591,"неттер,фрэнк.атласанатомиичеловекаучебноепособиедлястудентовмедицинскихвузов:пер.сангл./фрэнкнеттер;подред.л.л.колесникова,2015.-624с."
974,611/П752-222071,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович,2011.-720с."
976,611/П752-272564,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович;авт.предисл.а.к.косоуров,2014.-720с."
978,611/П752-402865,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович,2009.-720с."
980,611/П752-459436,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович,2002.-704с."
982,611/П752-560149,"привес,михаилгригорьевич.анатомиячеловекаучебник/м.г.привес,н.к.лысенков,в.и.бушкович,2008.-720с."
983,611/П752-560149,"привес,михаилгригорьевич.анатомиячеловекаучебник/м.г.привес,н.к.лысенков,в.и.бушкович,2008.-720с."
985,611/П752-586107,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович,2006.-720с."
987,611/П752-596117,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович,2010.-720с."
991,611/П752-882559,"привес,михаилгригорьевич.анатомиячеловекаучебникдляроссийскихииностранныхстудентовмедицинскихвузовифакультетов/м.г.привес,н.к.лысенков,в.и.бушкович;авт.предисл.а.к.косоуров,2017.-720с."
995,611/С192-180141,"сапин,михаилроманович.атласанатомиичеловекадлястоматологовдлястудентовстоматологическихфакультетовивузов/м.р.сапин,д.б.никитюк,л.м.литвиненко;рец.:л.л.колесников,и.м.макеева,2009.-600с."
999,611/С192-370249,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекаучебноепособиедлястудентовмедицинскихвузов:в3-хтомах.том1:учениеокостях,соединенияхкостейимышцах,2007.-296с."
1001,611/С192-374669,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекав3-хтомах:учебноепособиедлястудентовмедицинскихвузов.том3:учениеонервнойсистеме,2006.-252с."
1003,611/С192-479957,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекаучебноепособиедлястудентовмедицинскихвузов:в3-хтомах.том2:учениеовнутренностях,органахиммуннойсистемы,лимфатическойсистеме,эндокринныхжелезахисосудах,2007.-340с."
1005,611/С192-491430,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекав3-хтомах:учебноепособиедлястудентовмедицинскихвузов.том1:учениеокостях,соединенияхкостейимышцах,2006.-296с."
1006,611/С192-491430,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекав3-хтомах:учебноепособиедлястудентовмедицинскихвузов.том1:учениеокостях,соединенияхкостейимышцах,2006.-296с."
1012,611/С192-663190,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекаучебноепособиедлястудентовмедицинскихвузов:в3-хтомах.том3:учениеонервнойсистеме,2007.-252с."
1017,611/С192-808436,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекав3-хтомах:учебноепособиедлястудентовмедицинскихвузов.том2:учениеовнутренностях,органахиммуннойсистемы,лимфатическойсистеме,эндокринныхжелезахисосудах,2006.-340с."
1018,611/С192-808436,"сапин,михаилроманович(анатомия;19251019).атласанатомиичеловекав3-хтомах:учебноепособиедлястудентовмедицинскихвузов.том2:учениеовнутренностях,органахиммуннойсистемы,лимфатическойсистеме,эндокринныхжелезахисосудах,2006.-340с."
1038,611/С549-065871,"sobotta,johannes.атласанатомиичеловекапер.снем.том1/2:таблицымышц,суставовинервов:приложениектому2,2011.-103с."
1040,611/С549-598988,"sobotta,johannes.атласанатомиичеловекапер.снем.:в2-хтомах.том2:туловище.внутренниеорганы.нижняяконечность:704цветныеиллюстрации,914рисунков/пер.инауч.ред.в.в.куликов,2011.-416с."
1043,611/Ч-254-898894,"частныйкурсгистологиив2частях:учебноепособиедлясамостоятельныхзанятийстудентов,обучающихсяпоспециальностям:31.05.01-лечебноедело,31.05.02-педиатрия,31.05.03-стоматология.часть1/л.р.мустафина[идр.];подред.с.в.логвинова;рец.:а.а.жданкина,р.и.плешко,2020.-220с."
1047,612(075)/Ф504-157483,"физиологиячеловека[руководство]:в3томах:пер.сангл./ред.р.шмидт;ред.г.тевс.том1,1996.-323с."
1049,612(075)/Ф504-182043,"физиологиячеловекаучебноепособие/ред.г.и.косицкий,1985.-559с."
1067,612.017.1(075.8/Х158-506422,"хаитов,рахиммусаевич.иммунологияучебник/р.м.хаитов,г.а.игнатьева,и.г.сидорович,2000.-432с."
1069,612.017.1/Д725-743591,"дранник,георгийниколаевич.клиническаяиммунологияиаллергологиямонография/г.н.дранник,2003.-604с."
1071,612.017.1/З553-597390,"земсков,андреймихайлович.клиническаяиммунологияучебноепособиедлястудентовмедицинскихвузов/а.м.земсков,в.м.земсков,а.в.караулов;ред.а.м.земсков,2005.-320с."
1073,612.017.1/К493-977384,"клиническаяиммунологияиаллергологияучебноепособиедлястудентовмедицинскихвузов/в.в.климов[идр.];подред.в.в.климова,2008.-212с."
1079,612.017.1/Х158-936540,"хаитов,рахиммусаевич.иммунологияучебникдлястудентовмедицинскихвузовскомпакт-диском/р.м.хаитов;рец.:в.а.черешнев,а.в.караулов,л.в.ковальчук,2006.-320с."
1080,612.017.1/Х158-936540,"хаитов,рахиммусаевич.иммунологияучебникдлястудентовмедицинскихвузовскомпакт-диском/р.м.хаитов;рец.:в.а.черешнев,а.в.караулов,л.в.ковальчук,2006.-320с."
1081,612.017.2/М550-010996,"механизмыадаптацииорганизмаматериалынаучнойконференции,посвященнойпамятии90-летиюсоднярожденияпрофессорав.а.пегеля(томск,3-5декабря1996г.)/сибирскиймедицинскийуниверситет(томск).конференция,посвященная90-летиюв.а.пегеля(1996;томск),1996.-118с."
1086,612.017/К492-074303,"климов,владимирвасильевич.основыиммунологииучебноепособиедлястудентовврачебныхфакультетовпоспециальности31.05.01-лечебноедело,31.05.02-педиатрия/в.в.климов;рец.:т.п.ветлугина,е.н.кологривова,2017.-169с."
1088,612.017/К492-104190,"климов,владимирвасильевич.руководствопоиммунологиидлястоматологовучебноепособиедлястудентовстоматологическихфакультетовиотделенийпоспециальности31.05.03-стоматология/в.в.климов,в.а.шустова;рец.:м.н.стахеева,е.н.кологривова,2017.-156с."
1090,612.017/К492-500277,"климов,владимирвасильевич.иммунологияучебноепособиедлястудентовмедико-биологическогофакультетапоспециальностям060601.65–медицинскаябиохимия,060602.65–медицинскаябиофизика,060609.65–медицинскаякибернетика/в.в.климов,е.н.кологривова;рец.:м.н.стахеева,а.а.денисов,2018.-235с."
1093,612.017/Х158-026666,"хаитов,рахиммусаевич.иммунология.нормаипатологияучебникдлястудентовмедицинскихвузовиуниверситетов/р.м.хаитов,г.а.игнатьева,и.г.сидорович,2010.-752с."
1097,612.1/М192-543727,"малиновская,иринастаниславовна.кровь.кроветворение.иммунитет.органыгемопоэзаииммуннойзащитыучебноепособиедлястудентовмедицинскихвузов,обучающихсяпоспециальностям060101-лечебноедело,060103-педиатрия/и.с.малиновская,е.ю.варакута,с.в.логвинов;рец.:в.в.семченко,ю.и.склянов,2007.-96с.;[4]л.ил.с."
1100,612.11/К493-636493,"клиническаяинтерпретацияанализапериферическойкровиучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалитетапоспециальностям:лечебноедело,педиатрия,медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика/т.с.агеева[идр.];рец.а.и.карзилов,2014.-72с."
1108,612.31/Б832-559759,"боровский,евгенийвласович.биологияполостиртамонография/е.в.боровский,в.к.леонтьев,1991.-301с."
1112,612.65/Ф504-641714,"физиологияростаиразвитиядетейиподростков(теоретическиеиклиническиевопросы)в2томах/ред.:а.а.баранов,л.а.щеплягина.том2,2006.-464с."
1113,612.65/Ф504-910671,"физиологияростаиразвитиядетейиподростков(теоретическиеиклиническиевопросы)в2томах/ред.:а.а.баранов,л.а.щеплягина.том1,2006.-432с."
1118,612.8/К493-156047,"клиническаяпсихологияучебникдлястудентовмедицинскихвузовифакультетовклиническойпсихологии/подред.б.д.карвасарского,2008.-960с."
1120,612.8/К493-490565,"клиническаяпсихологияучебникдлястудентовмедицинскихвузовифакультетовклиническойпсихологии/ред.:б.д.карвасарский,2007.-960с."
1125,612.8/С506-428079,"смирнов,виктормихайлович.физиологиясенсорныхсистемивысшаянервнаядеятельностьучебноепособиедлястудентовмедицинскихвузов/в.м.смирнов,с.м.будылина,2009.-336с."
1128,612.8/Ф504-674668,"физиологиявысшейнервнойдеятельностиисенсорныхсистемучебноепособиедляпреподавателейистудентов/м.а.медведев[идр.];ред.м.а.медведев,2003.-188с."
1132,612.82/Н640-357859,"никольская,ольгалазаревна.ознакомительнаяпрактикапоспециальности""клиническаяпсихология""(1курс,2семестр)учебно-методическоепособиедлястудентовспециальности37.05.01""клиническаяпсихология""(уровеньспециалитета)/о.л.никольская;рец.:м.в.шабаловская,л.в.смольникова,2019.-101с."
1134,612.82/П867-041879,"психофизиологияучебникдлястудентоввысшихучебныхзаведений,обучающихсяпонаправлению521000""психология""испециальностям020400""психология"",022700""клиническаяпсихология""/московскийуниверситетим.м.в.ломоносова(м.),психологическийфакультет,2016.-464с."
1136,612.82/Ш122-153481,"шабаловская,маринавладимировна.вводнаяпрактикапоспециальности""клиническаяпсихология""длястудентов1курсаучебно-методическоепособиепоспециальности37.05.01""клиническаяпсихология""(уровеньспециалитета)/м.в.шабаловская;рец.о.в.терехина,2018.-44с."
1137,612.824.014.464/Б877-601407,"бредберим.концепциягематоэнцефалическогобарьера[текст]/м.бредбери;переводсангл.в.и.кандрора;подред.г.н.кассиля,1983.-480с."
1140,612/H19-665074,"hall,johne.guytonandhalltextbookofmedicalphysiology[текст]/j.e.hall,2016.-1145p."
1147,612/Д261-125452,"дегтярев,виталийпрокофьевич.нормальнаяфизиологияучебникдлястудентовобразовательныхучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальностям31.05.01""лечебноедело"",31.05.03""стоматология""укрупненнойгруппынаправленийподготовки,31.00.00""клиническаямедицина""подисциплине""нормальнаяфизиология""/в.п.дегтярев,н.д.сорокина,2016.-480с.;[8]л.ил.с."
1151,612/Н831-284340,"нормальнаяфизиологияучебникдлястудентовмедицинскихвузовпоспециальностям""лечебноедело""и""педиатрия""/н.а.агаджанян[идр.];подред.в.м.смирнова,2010.-480с."
1154,612/Н831-396500,"нормальнаяфизиологияучебникдлястудентов,обучающихсяпоспециальности040400-стоматология/московскиймедико-стоматологическийуниверситет(м.),кафедранормальнойфизиологии,2006.-736с."
1156,612/Н831-683906,"нормальнаяфизиологияучебникдлястудентовстоматологическихфакультетовмедицинскихвузов/подред.а.в.завьялова,в.м.смирнова,2009.-816с."
1159,612/О664-101399,"орлов,ратмирсергеевич.нормальнаяфизиологияучебникдлявузов/р.с.орлов,а.д.ноздрачев;ред.э.г.улумбеков,2005.-696с."
1164,612/П691-493086,"практикумпофизиологиисосновамианатомииучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования,поспециальности""фармация""/сибирскиймедицинскийуниверситет(томск),2015.-264с."
1170,612/Ф504-383500,"физиологиясосновамианатомииучебникдлястудентовфармацевтическихфакультетовмедицинскихвузов,обучающихсявобразовательныхорганизацияхвысшегообразованияпонаправлению06.03.01""биология""(профиль""биомедицина"")исмежнымнаправлениям/н.а.барбараш[идр.];подред.в.м.смирнова[идр.],2021.-376с."
1174,612/Ф504-481324,"физиологияипатологиядетейраннеговозрастаучебноепособиедляобучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалитетапоспециальностилечебноедело/л.м.огородова[идр.],2015.-129с."
1177,612/Ф504-842833,"физиологияипсихофизиологияучебникдлястудентовмедицинскихвузов,обучающихсяпоспециальности-""клиническаяпсихология""/н.а.агаджанян[идр.];подред.:м.а.медведева,в.м.смирнова,2013.-616с."
1180,613(07)/О280-228823,"общаягигиенаучебник/г.и.румянцев,м.п.воронцов,е.и.гончарук;ред.г.и.румянцев,1990.-287с."
1183,613(075)/Г463-121991,"гигиенаучебникдлястудентовлечебногофакультетамедицинскихвузов/н.и.прохоров[идр.];ред.г.и.румянцев,2000.-608с."
1184,613(075)/Л199-809296,"лакшин,андреймихайлович.общаягигиенасосновамиэкологиичеловекаучебникдлястудентовстоматологическихфакультетовмедицинскихвузов/а.м.лакшин,в.а.катаева,2004.-464с."
1185,613(075.8)/М624-562774,"минх,алексейалексеевич.общаягигиенаучебникдлястудентовстоматологическихинститутовистоматологическихфакультетовмедицинскихинститутов/а.а.минх,1984.-479с."
1187,613(075.8)/Р865-174932,"румянцев,геннадийиванович.общаягигиенаучебноепособие/г.и.румянцев,е.п.вишневская,т.а.козлова,1985.-432с."
1190,613.2/F74-738192,"foodhygiene[text]:tutorial/v.s.kaveshnikov[etal.];rew.yu.g.samoilova,2018.-132p."
1191,613.2/F74-738192,"foodhygiene[text]:tutorial/v.s.kaveshnikov[etal.];rew.yu.g.samoilova,2018.-132p."
1194,613.2/Г463-019997,"гигиенапитаниясправочныематериалы/сибирскиймедицинскийуниверситет(томск),кафедрагигиены,2015.-116с."
1198,613.2/П240-628682,"педенкоа.и.гигиенаисанитарияобщественногопитанияучебникдлятехнологическихфакультетовторговыхвузов/а.и.педенко,и.в.лерина,б.и.белицкий,1984.-255с."
1205,613.49/П173-825328,"папий,николайафанасьевич.медицинскаякосметологияруководстводляврачей/н.а.папий,т.н.папий,2013.-600с.;[8]л.цв.ил.с."
1206,613.495/Д538-548475,"дмитрук,светланаивановна.фармацевтическаяимедицинскаякосметологияучебникдлястудентовмедицинскихифармацевтическихвузовроссии/с.и.дмитрук,2002.-180с."
1209,613.6/I58-202530138,"industrialhygiene[text]:tutorial/v.s.kaveshnikov[etal.];rev.yu.g.nagorniak,2021.-181p."
1211,613.6/А661-444647,"андропова,татьянавладимировна.военнаягигиенаучебноепособиедлястудентов,обучающихсяпоосновнымобразовательнымпрограммампоспециальностям:лечебноедело(31.05.01),педиатрия(31.05.02)/т.в.андропова,м.в.гудина;рец.и.н.одинцова,2017.-108с."
1213,613.6/В675-802444,"волкотруб,людмилапетровна.гигиенатруданапредприятияххимико-фармацевтическойпромышленностиучебно-методическоепособие/л.п.волкотруб,т.в.андропова;рец.о.в.сафронова,2016.-164с."
1219,613.6/М624-841727713,"минх,алексейалексеевич.методыгигиеническихисследованиймонография/а.а.минх,1967.-536с."
1221,613.6/С844-379891,"стрельникова,людмилаалексеевна.военнаягигиенаучебноепособиедлястудентов,обучающихсяпоспециальностилечебноедело(060101),педиатрия(060113),медицинскаябиохимия(060112),медицинскаябиофизика(060113)имедицинскаякибернетика(060114)/л.а.стрельникова,т.в.андропова;подред.л.п.волкотруб;рец.:р.с.рахманов,г.н.дегтева,2009.-98с."
1222,613.67(075.8)/Б448-372784,"беляков,виталийдмитриевич.военнаягигиенаиэпидемиологияучебноепособие/в.д.беляков,е.г.жук,1988.-319с."
1224,613.67/М483-298938,"мельниченко,павеливанович.военнаягигиенаивоеннаяэпидемиологияучебникдлястудентовмедицинскихвузов/п.и.мельниченко,п.и.огарков,ю.в.лизунов;рец.:л.п.зуева,в.в.семенова,2006.-400с."
1225,613.67/М483-298938,"мельниченко,павеливанович.военнаягигиенаивоеннаяэпидемиологияучебникдлястудентовмедицинскихвузов/п.и.мельниченко,п.и.огарков,ю.в.лизунов;рец.:л.п.зуева,в.в.семенова,2006.-400с."
1228,613.71/Г788-593462,"грачев,олегконстантинович.физическаякультураучебноепособиедлястудентовмедицинскихифармацевтическихвузов/о.к.грачев;ред.е.в.харламов,2005.-464с."
